YearMonth,LangName,CommitCnts
2010-3,Golo,124
2010-7,X10,16
2009-7,NCL,177
2014-12,Tea,70
2012-11,Papyrus,248
2014-10,Yul,691
2016-11,Yul,605
2005-10,Common Workflow Language,15
2008-8,Pony,72
2009-3,Berry,32
2020-5,Whiley,66
2014-4,Smithy,352
2014-1,MQL5,454
2013-1,Smithy,200
2012-12,Solidity,192
2016-5,mcfunction,88
2011-9,Fennel,143
2020-12,X10,73
2014-9,MQL4,230
2007-1,Sieve,132
2015-9,Smithy,32
2010-3,Zeek,62
2008-5,Scaml,72
2011-7,Pony,30
2014-12,Boogie,76
2009-6,mcfunction,32
2006-10,MQL4,132
2017-7,Tea,83
2020-6,Ceylon,36
2016-12,Boogie,46
2007-12,Fennel,14
2010-4,Cypher,8
2019-10,NCL,115
2011-9,Kaitai Struct,18
2004-4,LilyPond,388
2006-2,LilyPond,416
2005-10,LilyPond,260
2000-2,LilyPond,36
2002-7,Visual Basic 6.0,1
2005-6,Visual Basic 6.0,15
2012-8,wisp,292
2013-2,wisp,280
2005-7,PureBasic,37
2004-2,Nu,144
2002-10,Nu,62
2019-11,Uno,26
2018-4,Portugol,73
2003-7,AspectJ,65
2018-12,Befunge,11
2000-2,Frege,357
2000-12,Component Pascal,4
2005-10,Jolie,95
2018-3,Bikeshed,4
2018-6,Move,100
2013-1,Move,17
2016-11,JFlex,1
2005-1,RPGLE,31
2018-5,Q#,7
2019-10,Q#,120
2017-7,Mirah,2
2018-12,TXL,7
2016-12,TXL,52
2010-4,BrighterScript,8
2009-4,KakouneScript,6
2008-4,PowerBuilder,32
2006-1,q,37
2000-11,Jolie,191
2000-5,EJS,4
2008-11,Xonsh,19
2009-3,Xonsh,3
2007-6,Genie,16
2006-12,Genie,4
2013-1,HolyC,1
2008-12,HolyC,1
2010-12,Closure Templates,59
2009-5,Ox,66
2009-7,Ox,35
2000-11,Web Ontology Language,2798
2000-12,HiveQL,10
2006-7,HiveQL,2
2020-11,NWScript,42
2004-11,Liquid,80
2011-8,NWScript,12
2017-9,NWScript,26
2007-7,NWScript,1
2006-6,Ecl,75
2013-6,Opal,157
2003-1,Mirah,188
2019-11,Ink,1
2017-10,Ink,1
2010-8,Witcher Script,3
2010-12,Cycript,2
2008-5,OpenSCAD,3
2011-4,Awk,16970232
2008-5,UnrealScript,14056264
2009-3,Perl,32537747
2012-8,NSIS,1203847
2012-4,UnrealScript,16014683
2010-4,VimL,5446490
2012-5,Java,2590837
2012-6,Clojure,6598451
2014-6,HTML,10915292
2015-7,,652256
2014-8,Rebol,70371
2015-7,Go,3735009
2015-4,JavaScript,12087437
2013-3,HTML,7898731
2011-10,Clojure,8638622
2011-2,Objective-C,21494906
2015-5,JavaScript,10583708
2008-7,C,39602429
2012-10,ASP,9004730
2007-4,TeX,2837756
2016-12,Go,3492287
2013-11,PostScript,1046546
2009-2,GDB,2258379
2012-1,Erlang,2378532
2014-6,Awk,8530875
2011-6,Makefile,16687309
2011-10,CSS,4534792
2011-7,Perl,30596206
2006-4,Assembly,9718795
2006-4,C,10423795
2013-5,TeX,2483271
2008-1,Awk,32673419
2005-9,Scala,3328556
2009-5,VimL,5873880
2013-10,SourcePawn,8530818
2017-3,Shell,7169168
2010-3,Makefile,19953186
2010-3,GDB,3140650
2015-3,TypeScript,1065829
2013-3,Hack,183313
2009-11,Stata,14636
2015-10,Python,9651580
2012-12,NSIS,878292
2010-1,TeX,3623804
2017-2,Objective-C,1791884
2017-7,Haskell,72585
2007-6,Objective-C,7870263
2010-6,C++,16710372
2010-6,XSLT,5033479
2014-8,GDB,1582601
2006-7,TeX,2141227
2009-8,Objective-C,20378838
2007-3,Clojure,3189112
2015-7,R,348814
2017-12,Batchfile,1182957
2016-9,M4,665994
2020-7,Java,480281
2013-9,PowerShell,1159129
